user_id,timestamp,line_current,neutral_current,power_consumed,remaining_tokens
DHARAN-001,2026-01-01 00:00:00+05:45,6.6325,6.6115,1.5891,318.4109
DHARAN-001,2026-01-01 01:00:00+05:45,6.9165,6.9119,1.6654,316.7456
DHARAN-001,2026-01-01 02:00:00+05:45,6.5723,6.5574,1.5678,315.1777
DHARAN-001,2026-01-01 03:00:00+05:45,6.1257,6.1045,1.4501,313.7276
DHARAN-001,2026-01-01 04:00:00+05:45,6.5989,6.5801,1.5604,312.1672
DHARAN-001,2026-01-01 05:00:00+05:45,6.1022,6.0948,1.4494,310.7178
DHARAN-001,2026-01-01 06:00:00+05:45,11.5256,11.5121,2.7447,307.9731
DHARAN-001,2026-01-01 07:00:00+05:45,10.7906,10.7768,2.5575,305.4156
DHARAN-001,2026-01-01 08:00:00+05:45,10.8549,10.8356,2.5879,302.8277
DHARAN-001,2026-01-01 09:00:00+05:45,11.2855,11.2671,2.6831,300.1446
DHARAN-001,2026-01-01 10:00:00+05:45,7.5836,7.5727,1.8095,298.3351
DHARAN-001,2026-01-01 11:00:00+05:45,6.135,6.111,1.4548,296.8803
DHARAN-001,2026-01-01 12:00:00+05:45,6.4295,6.4211,1.5388,295.3415
DHARAN-001,2026-01-01 13:00:00+05:45,6.8781,6.8588,1.6306,293.7109
DHARAN-001,2026-01-01 14:00:00+05:45,6.1944,6.1784,1.4726,292.2382
DHARAN-001,2026-01-01 15:00:00+05:45,6.6656,6.6488,1.5787,290.6595
DHARAN-001,2026-01-01 16:00:00+05:45,6.8654,6.8481,1.634,289.0255
DHARAN-001,2026-01-01 17:00:00+05:45,6.7804,6.7679,1.6283,287.3973
DHARAN-001,2026-01-01 18:00:00+05:45,12.4524,12.4396,2.9709,284.4263
DHARAN-001,2026-01-01 19:00:00+05:45,13.4338,13.411,3.2068,281.2196
DHARAN-001,2026-01-01 20:00:00+05:45,11.8534,11.8371,2.8254,278.3941
DHARAN-001,2026-01-01 21:00:00+05:45,13.0389,13.0175,3.0977,275.2964
DHARAN-001,2026-01-01 22:00:00+05:45,12.5207,12.4989,2.9855,272.3109
DHARAN-001,2026-01-01 23:00:00+05:45,6.3731,6.3671,1.5295,270.7814
DHARAN-001,2026-01-02 00:00:00+05:45,6.077,6.0608,1.4422,269.3392
DHARAN-001,2026-01-02 01:00:00+05:45,6.8514,6.8351,1.6354,267.7038
DHARAN-001,2026-01-02 02:00:00+05:45,6.8234,6.8048,1.6276,266.0763
